City,Date,Temperature,Weather
Moscow,2024-08-18 12:00:00,26.97,few clouds
Moscow,2024-08-18 15:00:00,26.65,scattered clouds
Moscow,2024-08-18 18:00:00,23.99,scattered clouds
Moscow,2024-08-18 21:00:00,20.04,few clouds
Moscow,2024-08-19 00:00:00,18.79,few clouds
Moscow,2024-08-19 03:00:00,18.02,clear sky
Moscow,2024-08-19 06:00:00,22.56,clear sky
Moscow,2024-08-19 09:00:00,26.52,clear sky
Moscow,2024-08-19 12:00:00,28.44,broken clouds
Moscow,2024-08-19 15:00:00,27.73,overcast clouds
Moscow,2024-08-19 18:00:00,24.15,overcast clouds
Moscow,2024-08-19 21:00:00,22.35,few clouds
Moscow,2024-08-20 00:00:00,21.31,broken clouds
Moscow,2024-08-20 03:00:00,20.51,overcast clouds
Moscow,2024-08-20 06:00:00,19.56,light rain
Moscow,2024-08-20 09:00:00,22.55,light rain
Moscow,2024-08-20 12:00:00,22.02,overcast clouds
Moscow,2024-08-20 15:00:00,21.16,overcast clouds
Moscow,2024-08-20 18:00:00,19.61,overcast clouds
Moscow,2024-08-20 21:00:00,18.42,overcast clouds
Moscow,2024-08-21 00:00:00,16.02,overcast clouds
Moscow,2024-08-21 03:00:00,14.98,broken clouds
Moscow,2024-08-21 06:00:00,19.09,scattered clouds
Moscow,2024-08-21 09:00:00,23.11,overcast clouds
Moscow,2024-08-21 12:00:00,25.05,overcast clouds
Moscow,2024-08-21 15:00:00,24.15,broken clouds
Moscow,2024-08-21 18:00:00,19.74,broken clouds
Moscow,2024-08-21 21:00:00,17.44,broken clouds
Moscow,2024-08-22 00:00:00,15.97,broken clouds
Moscow,2024-08-22 03:00:00,15.39,scattered clouds
Moscow,2024-08-22 06:00:00,19.87,broken clouds
Moscow,2024-08-22 09:00:00,25.29,light rain
Moscow,2024-08-22 12:00:00,28.88,few clouds
Moscow,2024-08-22 15:00:00,25.95,light rain
Moscow,2024-08-22 18:00:00,20.59,overcast clouds
Moscow,2024-08-22 21:00:00,19.25,broken clouds
Moscow,2024-08-23 00:00:00,16.61,broken clouds
Moscow,2024-08-23 03:00:00,15.76,overcast clouds
Moscow,2024-08-23 06:00:00,16.46,overcast clouds
Moscow,2024-08-23 09:00:00,20.67,clear sky
Boston,2024-08-18 12:00:00,18.67,light rain
Boston,2024-08-18 15:00:00,19.26,light rain
Boston,2024-08-18 18:00:00,21.7,overcast clouds
Boston,2024-08-18 21:00:00,23.59,overcast clouds
Boston,2024-08-19 00:00:00,20.1,broken clouds
Boston,2024-08-19 03:00:00,18.77,clear sky
Boston,2024-08-19 06:00:00,18.23,clear sky
Boston,2024-08-19 09:00:00,18.58,light rain
Boston,2024-08-19 12:00:00,20.33,light rain
Boston,2024-08-19 15:00:00,25.06,light rain
Boston,2024-08-19 18:00:00,26.58,moderate rain
Boston,2024-08-19 21:00:00,26.24,moderate rain
Boston,2024-08-20 00:00:00,22.04,light rain
Boston,2024-08-20 03:00:00,20.57,light rain
Boston,2024-08-20 06:00:00,19.27,light rain
Boston,2024-08-20 09:00:00,17.31,light rain
Boston,2024-08-20 12:00:00,15.77,light rain
Boston,2024-08-20 15:00:00,16.32,overcast clouds
Boston,2024-08-20 18:00:00,19.51,overcast clouds
Boston,2024-08-20 21:00:00,19.96,overcast clouds
Boston,2024-08-21 00:00:00,17.88,overcast clouds
Boston,2024-08-21 03:00:00,17.23,overcast clouds
Boston,2024-08-21 06:00:00,13.64,broken clouds
Boston,2024-08-21 09:00:00,13.21,scattered clouds
Boston,2024-08-21 12:00:00,14.25,broken clouds
Boston,2024-08-21 15:00:00,17.05,overcast clouds
Boston,2024-08-21 18:00:00,19.98,overcast clouds
Boston,2024-08-21 21:00:00,19.22,overcast clouds
Boston,2024-08-22 00:00:00,15.98,light rain
Boston,2024-08-22 03:00:00,13.45,clear sky
Boston,2024-08-22 06:00:00,12.11,clear sky
Boston,2024-08-22 09:00:00,12.59,scattered clouds
Boston,2024-08-22 12:00:00,14.23,broken clouds
Boston,2024-08-22 15:00:00,17.41,overcast clouds
Boston,2024-08-22 18:00:00,20.51,broken clouds
Boston,2024-08-22 21:00:00,21.35,broken clouds
Boston,2024-08-23 00:00:00,18.1,broken clouds
Boston,2024-08-23 03:00:00,15.65,scattered clouds
Boston,2024-08-23 06:00:00,14.13,few clouds
Boston,2024-08-23 09:00:00,13.3,clear sky
Tokyo,2024-08-18 12:00:00,30.24,few clouds
Tokyo,2024-08-18 15:00:00,29.95,light rain
Tokyo,2024-08-18 18:00:00,28.99,light rain
Tokyo,2024-08-18 21:00:00,27.55,scattered clouds
Tokyo,2024-08-19 00:00:00,29.77,broken clouds
Tokyo,2024-08-19 03:00:00,31.73,light rain
Tokyo,2024-08-19 06:00:00,31.9,overcast clouds
Tokyo,2024-08-19 09:00:00,32.19,overcast clouds
Tokyo,2024-08-19 12:00:00,30.72,light rain
Tokyo,2024-08-19 15:00:00,28.82,light rain
Tokyo,2024-08-19 18:00:00,28.56,moderate rain
Tokyo,2024-08-19 21:00:00,28.46,overcast clouds
Tokyo,2024-08-20 00:00:00,30.77,light rain
Tokyo,2024-08-20 03:00:00,33.53,clear sky
Tokyo,2024-08-20 06:00:00,33.52,clear sky
Tokyo,2024-08-20 09:00:00,30.02,scattered clouds
Tokyo,2024-08-20 12:00:00,29.85,broken clouds
Tokyo,2024-08-20 15:00:00,29.1,overcast clouds
Tokyo,2024-08-20 18:00:00,27.56,overcast clouds
Tokyo,2024-08-20 21:00:00,25.97,light rain
Tokyo,2024-08-21 00:00:00,27.55,light rain
Tokyo,2024-08-21 03:00:00,28.68,light rain
Tokyo,2024-08-21 06:00:00,29.37,light rain
Tokyo,2024-08-21 09:00:00,27.49,overcast clouds
Tokyo,2024-08-21 12:00:00,25.84,overcast clouds
Tokyo,2024-08-21 15:00:00,25.37,overcast clouds
Tokyo,2024-08-21 18:00:00,24.89,overcast clouds
Tokyo,2024-08-21 21:00:00,24.75,overcast clouds
Tokyo,2024-08-22 00:00:00,25.49,overcast clouds
Tokyo,2024-08-22 03:00:00,27.45,overcast clouds
Tokyo,2024-08-22 06:00:00,28.11,overcast clouds
Tokyo,2024-08-22 09:00:00,26.76,overcast clouds
Tokyo,2024-08-22 12:00:00,26.22,overcast clouds
Tokyo,2024-08-22 15:00:00,25.94,overcast clouds
Tokyo,2024-08-22 18:00:00,25.94,overcast clouds
Tokyo,2024-08-22 21:00:00,26.03,overcast clouds
Tokyo,2024-08-23 00:00:00,26.92,overcast clouds
Tokyo,2024-08-23 03:00:00,29.54,overcast clouds
Tokyo,2024-08-23 06:00:00,30.16,overcast clouds
Tokyo,2024-08-23 09:00:00,28.76,broken clouds
